unbound_M2,decC1
3.17658,1.50936
46.4518,1.50936
47.5388,2.2887
45.197,4.2048
41.9169,4.8781
38.3753,5.1495
34.8924,6.9353
31.6265,8.1962
28.6332,8.9258
25.9141,8.1416
23.451,6.875
21.2213,7.1636
19.2033,7.0463
17.377,7.5606
15.7243,7.7409
14.2287,8.6188
12.8753,8.2231
11.6506,8.5798
10.5424,8.7123
9.5395,9.6421
9.63203,9.3883
9.81087,9.9684
9.06782,9.3982
9.39545,9.692
9.78704,9.8628
9.2365,9.9222
9.73833,9.881
9.28755,9.748
9.87965,9.533
9.51056,9.244
9.17658,9.886
